FILE_BYTES,SEC_LEVEL,LIB,ALG,KEY_LEN,BLOCK_MODE
1,1,OPENSSL,AES,128,ECB
2,1,OPENSSL,AES,128,ECB
4,1,OPENSSL,AES,128,ECB
8,1,BOTAN,AES,128,CBC
16,1,BOTAN,AES,128,CBC
32,1,BOTAN,AES,128,CBC
1,2,WOLFSSL,AES,256,CFB
2,2,WOLFSSL,AES,256,CFB
4,2,WOLFSSL,AES,256,CFB
8,2,WOLFSSL,AES,256,CFB
16,2,WOLFSSL,AES,256,CFB
32,2,WOLFSSL,AES,256,CFB
1,3,BOTAN,AES,128,CFB
2,3,BOTAN,AES,128,CFB
4,3,BOTAN,AES,128,CFB
8,3,BOTAN,AES,128,CFB
16,3,BOTAN,AES,128,CFB
32,3,BOTAN,AES,128,CFB
1,4,CRYPTOPP,AES,256,CBC
2,4,CRYPTOPP,AES,256,CBC
4,4,WOLFSSL,AES,128,CBC
8,4,WOLFSSL,AES,128,CBC
16,4,WOLFSSL,AES,128,CBC
32,4,WOLFSSL,AES,128,CBC
1,5,BOTAN,AES,128,CFB
2,5,BOTAN,AES,128,CFB
4,5,BOTAN,AES,128,CFB
8,5,BOTAN,AES,128,CFB
16,5,BOTAN,AES,128,CFB
32,5,BOTAN,AES,128,CFB
